ID	parentID	scientificName	kingdom	phylum	class	order	family	genus	rank	status
868		Hydrachnidae	Animalia	Arthropoda	Acari	Acaridida	Hydrachnidae		family	accepted
869		Tyrophagus	Animalia	Arthropoda	Acari	Acaridida	Hydrachnidae	Tyrophagus	genus	accepted
870		Damalinia bovis	Animalia	Arthropoda	Insecta	Mallophaga	Trichodectidae	Damalinia	species	accepted
872		Damalinia caprae	Animalia	Arthropoda	Insecta	Mallophaga	Trichodectidae	Damalinia	species	accepted
873		Humerobates fungorum	Animalia	Arthropoda	Acari	Oribatida	Ceratozetidae	Humerobates	species	accepted
874		Mallophaga	Animalia	Arthropoda	Insecta	Mallophaga			order	accepted
875		Acaridida	Animalia	Arthropoda	Acari	Acaridida			order	accepted
876		Hydrozetidae	Animalia	Arthropoda	Acari	Oribatida	Hydrozetidae	ondet.	family	accepted
877		Oribatella quadricornuta	Animalia	Arthropoda	Acari	Oribatida	Oribatellidae	Oribatella	species	accepted
878		Trimalaconothrus novus	Animalia	Arthropoda	Acari	Oribatida	Malaconothridae	Trimalaconothrus	species	accepted
879		Arthropoda	Animalia	Arthropoda					phylum	accepted
880		Solea lascaris	Animalia	Chordata	Osteichthyes	Pleuronectiformes	Soleidae	Solea	species	accepted
881		Soleidae	Animalia	Chordata	Osteichthyes	Pleuronectiformes	Soleidae		family	accepted
882		Planorbis carinatus	Animalia	Mollusca	Gastropoda	Pulmonata	Planorbidae	Planorbis	species	accepted
884		Planorbarius corneus	Animalia	Mollusca	Gastropoda	Pulmonata	Planorbidae	Planorbarius	species	accepted
886		Planorbidae	Animalia	Mollusca	Gastropoda	Pulmonata	Planorbidae		family	accepted
887		Segmentina nitida	Animalia	Mollusca	Gastropoda	Pulmonata	Planorbidae	Segmentina	species	accepted
888		Anisus leucostoma	Animalia	Mollusca	Gastropoda	Pulmonata	Planorbidae	Anisus	species	accepted
889		Anisus vorticulus	Animalia	Mollusca	Gastropoda	Pulmonata	Planorbidae	Anisus	species	accepted
890		Anodonta	Animalia	Mollusca	Bivalvia	Unionoida	Unionidae	Anodonta	genus	accepted
892		Viviparus contectus	Animalia	Mollusca	Gastropoda	Architaenioglossa	Viviparidae	Viviparus	species	accepted
893		Radix peregra	Animalia	Mollusca	Gastropoda	Pulmonata	Lymnaeidae	Radix	species	accepted
894		Stagnicola palustris	Animalia	Mollusca	Gastropoda	Pulmonata	Lymnaeidae	Stagnicola	species	accepted
895		Physella acuta	Animalia	Mollusca	Gastropoda	Pulmonata	Physidae	Physella	species	accepted
